0x101f87e24	StardewValley_StardewValley_Menus_TitleMenu_createdNewCharacter_060065a0	0x060065a0	StardewValley.Menus.TitleMenu	createdNewCharacter
0x101bf2ab4	StardewValley_StardewValley_Minigames_Intro_doneCreatingCharacter_06005094	0x06005094	StardewValley.Minigames.Intro	doneCreatingCharacter
0x101854cc0	StardewValley_StardewValley_Farmer_changeGender_06003667	0x06003667	StardewValley.Farmer	changeGender
0x101854288	StardewValley_StardewValley_Farmer_changeHairStyle_0600365b	0x0600365b	StardewValley.Farmer	changeHairStyle
0x1011b0e90	StardewValley_Ionic_Zlib_ZlibStream__ctor_060000ed	0x060000ed	Ionic.Zlib.ZlibStream	.ctor
0x101a2e834	StardewValley_StardewValley_Utility_getTopLeftPositionForCenteringOnScreen_06004276	0x06004276	StardewValley.Utility	getTopLeftPositionForCenteringOnScreen
0x101ea2d6c	StardewValley_StardewValley_Menus_IClickableMenu_drawTextureBox_060061a5	0x060061a5	StardewValley.Menus.IClickableMenu	drawTextureBox
0x101f85550	StardewValley_StardewValley_Menus_TitleMenu_backButtonPressed_06006598	0x06006598	StardewValley.Menus.TitleMenu	backButtonPressed
0x101e6f5ec	StardewValley_StardewValley_Menus_DialogueBox_hasFinishedTyping_0600607f	0x0600607f	StardewValley.Menus.DialogueBox	hasFinishedTyping
0x101e6f580	StardewValley_StardewValley_Menus_DialogueBox_finishTyping_0600607e	0x0600607e	StardewValley.Menus.DialogueBox	finishTyping
0x1020b01f4	StardewValley_StardewValley_Menus_LoadGameMenu_MenuSlot__ctor_060073b0	0x060073b0	StardewValley.Menus.LoadGameMenu+MenuSlot	.ctor
0x101ef8c10	StardewValley_StardewValley_Menus_LoadGameMenu__ctor_060062c5	0x060062c5	StardewValley.Menus.LoadGameMenu	.ctor
0x101f7c908	StardewValley_StardewValley_Menus_TextBox__ctor_0600655b	0x0600655b	StardewValley.Menus.TextBox	.ctor
0x101f7c5d4	StardewValley_StardewValley_Menus_TextBox_set_Text_06006558	0x06006558	StardewValley.Menus.TextBox	set_Text
0x101711d40	StardewValley_StardewValley_Game1_get_MasterPlayer_06002ffa	0x06002ffa	StardewValley.Game1	get_MasterPlayer
0x1018377f4	StardewValley_StardewValley_Farmer_get_hasSkullKey_0600356a	0x0600356a	StardewValley.Farmer	get_hasSkullKey
0x101e73f18	StardewValley_StardewValley_Menus_DialogueBox_GetWidth_0600609a	0x0600609a	StardewValley.Menus.DialogueBox	GetWidth
0x101e6e2cc	StardewValley_StardewValley_Menus_DialogueBox__ctor_06006077	0x06006077	StardewValley.Menus.DialogueBox	.ctor
0x10170bb6c	StardewValley_StardewValley_Game1_ResetLinkedChallenge_06002f8d	0x06002f8d	StardewValley.Game1	ResetLinkedChallenge
0x101737980	StardewValley_StardewValley_Game1_drawObjectDialogue_060030be	0x060030be	StardewValley.Game1	drawObjectDialogue
0x101f636b8	StardewValley_StardewValley_Menus_SliderBar_updateExpandedBounds_060064cc	0x060064cc	StardewValley.Menus.SliderBar	updateExpandedBounds
0x101794214	StardewValley_StardewValley_Character_get_currentLocation_0600326b	0x0600326b	StardewValley.Character	get_currentLocation
0x10170efbc	StardewValley_StardewValley_Game1_get_globalFade_06002fbb	0x06002fbb	StardewValley.Game1	get_globalFade
0x101f9518c	StardewValley_StardewValley_Menus_Toolbar_getIconPosition_060065be	0x060065be	StardewValley.Menus.Toolbar	getIconPosition
0x1020b0498	StardewValley_StardewValley_Menus_LoadGameMenu_SaveFileSlot_Activate_060073b7	0x060073b7	StardewValley.Menus.LoadGameMenu+SaveFileSlot	Activate
0x101e82300	StardewValley_StardewValley_Menus_FarmhandMenu__ctor_060060f2	0x060060f2	StardewValley.Menus.FarmhandMenu	.ctor
0x101f6374c	StardewValley_StardewValley_Menus_SliderBar_click_060064cd	0x060064cd	StardewValley.Menus.SliderBar	click
0x10176a4a0	StardewValley_StardewValley_Game1_getSourceRectForStandardTileSheet_06003181	0x06003181	StardewValley.Game1	getSourceRectForStandardTileSheet
